,total_rate,580026,600111,600089,600584,600175
09:17:51,182,1,3,1,1,1
09:17:52,201,2,0,0,0,1
09:17:53,189,2,0,3,0,1
09:17:54,183,2,1,0,0,1
09:17:55,175,5,0,1,3,0
09:17:56,178,7,1,1,1,2
09:17:57,193,1,3,1,0,2
09:17:58,171,4,1,1,1,2
09:17:59,174,0,1,0,0,2
09:18:00,163,1,0,1,1,2
09:18:01,165,0,4,1,0,1
09:18:02,176,0,0,0,0,0
09:18:03,173,0,2,3,2,4
09:18:04,183,2,1,2,0,0
09:18:05,194,2,3,2,1,1
09:18:06,160,2,0,0,1,2
09:18:07,166,1,2,1,1,1
09:18:08,163,4,0,1,1,2
09:18:09,170,0,2,0,0,2
09:18:10,176,0,3,1,0,2
09:18:11,165,0,0,0,0,2
09:18:12,188,0,2,0,0,0
09:18:13,183,2,1,0,0,1
09:18:14,165,0,2,0,0,0
09:18:15,192,2,2,3,0,1
09:18:16,198,1,5,1,1,2
09:18:17,170,2,1,0,0,0
09:18:18,170,1,3,0,2,0
09:18:19,166,3,2,0,0,0
09:18:20,178,4,0,1,1,1
09:18:21,179,1,3,0,0,2
09:18:22,188,0,2,1,0,0
09:18:23,182,2,1,0,0,1
09:18:24,188,3,1,0,2,0
09:18:25,178,3,1,1,0,1
09:18:26,200,0,3,0,2,0
09:18:27,190,1,1,1,2,0
09:18:28,154,4,1,0,0,0
09:18:29,179,1,2,0,0,1
09:18:30,189,3,2,0,0,1
09:18:31,179,2,0,1,2,2
09:18:32,177,2,0,0,1,1
09:18:33,185,0,2,1,1,3
09:18:34,168,1,2,0,1,1
09:18:35,192,1,3,0,3,0
09:18:36,179,0,1,1,0,0
09:18:37,182,5,1,0,1,1
09:18:38,188,1,0,0,0,0
09:18:39,179,0,1,0,0,0
09:18:40,187,2,4,0,0,0
09:18:41,170,0,1,0,2,1
09:18:42,216,3,4,2,0,0
09:18:43,201,6,0,0,0,3
09:18:44,175,1,0,0,0,2
09:18:45,181,0,1,0,1,0
09:18:46,197,5,3,1,1,1
09:18:47,179,1,1,0,1,0
09:18:48,196,3,1,2,0,2
09:18:49,205,2,5,0,1,2
09:18:50,206,5,3,0,0,1
09:18:51,170,3,0,1,0,1
09:18:52,187,4,3,0,2,1
09:18:53,197,3,2,0,0,0
09:18:54,193,2,0,0,2,2
09:18:55,209,4,3,0,0,2
09:18:56,191,3,4,0,1,1
09:18:57,224,2,2,0,1,1
09:18:58,186,4,1,0,0,3
09:18:59,174,0,2,0,0,2
09:19:00,213,3,0,0,2,0
09:19:01,204,0,2,1,1,0
09:19:02,185,1,3,0,1,1
09:19:03,203,3,1,0,2,2
09:19:04,204,5,2,1,2,1
09:19:05,170,1,2,1,0,1
09:19:06,179,4,1,0,1,4
09:19:07,172,2,1,0,2,1
09:19:08,198,4,0,1,0,1
09:19:09,207,2,0,2,1,0
09:19:10,216,0,4,1,0,2
09:19:11,178,0,1,0,0,1
09:19:12,197,4,1,1,1,2
09:19:13,192,1,1,1,1,1
09:19:14,226,2,1,1,0,1
09:19:15,177,0,4,0,1,1
09:19:16,199,0,1,0,3,0
09:19:17,197,1,2,1,1,1
09:19:18,188,3,1,0,0,2
09:19:19,193,0,1,1,0,0
09:19:20,207,3,1,1,1,1
09:19:21,210,1,1,1,0,0
09:19:22,187,1,2,1,1,1
09:19:23,212,3,4,1,1,1
09:19:24,205,1,3,3,0,3
09:19:25,202,4,0,1,0,3
09:19:26,206,3,1,0,1,3
09:19:27,227,4,6,1,1,2
09:19:28,203,0,2,1,0,1
09:19:29,235,5,2,1,0,0
09:19:30,180,1,2,0,0,0
09:19:31,208,1,2,0,0,1
09:19:32,212,1,1,0,0,1
09:19:33,191,2,0,0,1,1
09:19:34,202,3,1,2,1,1
09:19:35,218,1,2,0,1,1
09:19:36,204,0,3,0,1,3
09:19:37,200,3,1,2,1,1
09:19:38,205,3,2,0,0,3
09:19:39,178,1,2,2,0,3
09:19:40,195,0,3,0,0,0
09:19:41,233,1,2,0,1,2
09:19:42,195,0,5,0,1,1
09:19:43,197,4,0,3,0,0
09:19:44,198,2,3,1,1,0
09:19:45,210,0,3,0,1,2
09:19:46,215,2,3,1,1,2
09:19:47,187,4,3,0,2,0
09:19:48,207,0,3,0,1,1
09:19:49,235,2,5,1,0,0
09:19:50,205,0,0,0,0,1
09:19:51,201,3,3,1,1,1
09:19:52,206,3,3,0,1,0
09:19:53,198,2,1,0,2,1
09:19:54,222,5,4,0,2,1
09:19:55,228,2,1,0,0,1
09:19:56,216,2,3,0,0,0
09:19:57,189,3,2,0,0,1
09:19:58,214,0,1,0,1,1
09:19:59,209,1,1,2,2,1
09:20:00,195,0,1,0,0,1
09:20:01,185,3,1,0,1,2
09:20:02,178,1,5,0,1,0
09:20:03,201,2,6,1,0,1
09:20:04,203,1,2,1,1,1
09:20:05,178,5,3,1,3,1
09:20:06,202,2,1,0,0,2
09:20:07,208,4,3,1,1,2
09:20:08,191,2,3,1,2,0
09:20:09,189,2,1,1,1,0
09:20:10,170,3,2,0,1,2
09:20:11,206,0,4,2,1,2
09:20:12,186,0,2,0,0,1
09:20:13,211,4,1,0,0,1
09:20:14,198,0,2,1,0,2
09:20:15,199,1,4,1,1,0
09:20:16,174,1,3,1,1,0
09:20:17,215,2,5,1,1,0
09:20:18,221,2,2,1,2,1
09:20:19,212,0,1,1,1,1
09:20:20,191,1,7,0,0,4
09:20:21,210,3,3,1,1,3
09:20:22,184,1,3,1,1,1
09:20:23,201,1,1,0,1,1
09:20:24,212,3,0,1,0,1
09:20:25,206,2,3,2,0,2
09:20:26,204,1,1,2,0,1
09:20:27,181,2,2,0,0,1
09:20:28,196,1,1,1,0,0
09:20:29,229,1,2,0,2,4
09:20:30,201,7,2,1,0,2
09:20:31,194,2,1,0,1,0
09:20:32,181,3,3,1,0,2
09:20:33,223,1,4,1,0,0
09:20:34,179,1,1,1,0,1
09:20:35,213,2,2,0,2,2
09:20:36,200,1,0,1,2,2
09:20:37,211,8,4,1,0,0
09:20:38,214,4,3,2,2,4
09:20:39,191,15,3,0,1,1
09:20:40,218,11,1,0,1,0
09:20:41,243,11,3,1,1,0
09:20:42,219,9,1,1,0,1
09:20:43,228,9,3,1,0,1
09:20:44,238,6,4,0,0,0
09:20:45,203,2,2,1,0,2
09:20:46,198,3,2,0,1,0
09:20:47,210,1,3,0,1,4
09:20:48,207,1,3,1,1,0
09:20:49,211,1,2,1,0,1
09:20:50,225,0,4,2,0,0
09:20:51,208,0,1,0,1,1
09:20:52,218,2,2,0,0,1
09:20:53,211,5,3,1,1,2
09:20:54,217,1,1,0,2,1
09:20:55,224,5,3,0,1,3
09:20:56,231,2,1,0,0,2
09:20:57,219,1,1,2,0,3
09:20:58,224,0,1,0,1,2
09:20:59,192,1,5,2,2,0
09:21:00,232,3,2,1,1,1
09:21:01,204,0,1,1,0,1
09:21:02,214,3,4,0,2,3
09:21:03,222,5,2,1,2,2
09:21:04,192,2,2,0,2,1
09:21:05,228,4,3,1,1,0
09:21:06,220,1,3,1,1,2
09:21:07,244,5,4,0,1,1
09:21:08,221,1,2,0,3,1
09:21:09,222,3,2,1,1,0
09:21:10,217,1,6,0,0,0
09:21:11,208,4,2,1,0,0
09:21:12,208,3,5,0,1,1
09:21:13,255,1,2,1,1,5
09:21:14,221,2,4,0,0,1
09:21:15,222,2,3,2,1,1
09:21:16,192,3,2,0,2,5
09:21:17,219,3,2,1,3,2
09:21:18,214,1,3,3,0,2
09:21:19,235,1,4,1,2,2
09:21:20,234,3,6,0,3,2
09:21:21,215,3,1,2,0,0
09:21:22,220,1,3,1,0,1
09:21:23,239,1,3,2,0,2
09:21:24,208,1,3,1,1,3
09:21:25,232,2,3,1,0,1
09:21:26,223,2,2,0,0,4
09:21:27,218,2,4,2,0,0
09:21:28,235,3,1,3,0,0
09:21:29,222,1,3,1,0,2
09:21:30,215,4,1,0,2,0
09:21:31,250,3,3,0,0,2
09:21:32,217,1,2,2,0,1
09:21:33,215,0,1,0,1,3
09:21:34,220,1,3,1,1,2
09:21:35,221,1,4,2,1,2
09:21:36,218,2,2,1,1,1
09:21:37,226,2,3,0,2,1
09:21:38,236,1,1,0,1,0
09:21:39,231,0,3,3,2,1
09:21:40,248,2,3,0,0,2
09:21:41,237,1,0,0,0,2
09:21:42,245,0,1,2,3,0
09:21:43,246,0,2,1,1,2
09:21:44,221,1,2,3,0,2
09:21:45,231,4,4,2,0,1
09:21:46,202,1,4,4,0,0
09:21:47,246,2,3,2,2,1
09:21:48,257,4,1,1,2,1
09:21:49,236,1,5,2,3,1
09:21:50,235,2,3,0,0,1
09:21:51,253,1,5,1,1,1
09:21:52,236,3,3,3,1,1
09:21:53,243,2,1,1,3,1
09:21:54,228,2,5,1,0,4
09:21:55,244,1,4,1,1,1
09:21:56,232,6,4,2,1,0
09:21:57,228,0,4,0,0,2
09:21:58,263,4,4,0,2,3
09:21:59,233,4,6,0,0,0
09:22:00,246,3,1,1,1,2
09:22:01,244,3,3,1,2,2
09:22:02,243,5,4,2,2,1
09:22:03,236,3,1,1,2,2
09:22:04,229,2,3,0,1,0
09:22:05,261,4,2,0,1,1
09:22:06,246,0,3,0,2,0
09:22:07,256,1,3,1,0,2
09:22:08,227,0,0,1,1,1
09:22:09,274,1,3,0,1,2
09:22:10,260,2,4,1,1,3
09:22:11,266,0,1,1,2,0
09:22:12,221,1,0,1,1,2
09:22:13,254,5,7,1,1,2
09:22:14,240,6,3,0,0,1
09:22:15,240,0,1,0,0,2
09:22:16,237,0,4,0,2,0
09:22:17,248,6,4,2,4,1
09:22:18,242,2,4,1,0,2
09:22:19,267,4,3,0,2,0
09:22:20,235,1,2,2,0,0
09:22:21,250,2,3,0,1,2
09:22:22,242,0,2,0,0,0
09:22:23,236,4,6,1,0,1
09:22:24,235,4,3,1,0,1
09:22:25,233,3,1,0,1,1
09:22:26,278,1,4,1,0,2
09:22:27,250,2,1,4,0,2
09:22:28,254,3,3,1,2,1
09:22:29,231,2,5,0,1,1
09:22:30,280,0,2,1,0,3
09:22:31,233,4,4,1,1,2
09:22:32,273,5,1,3,1,1
09:22:33,262,2,3,2,0,0
09:22:34,248,0,1,0,1,1
09:22:35,225,4,4,2,0,2
09:22:36,238,1,3,0,0,2
09:22:37,223,3,4,0,0,0
09:22:38,250,4,3,1,1,1
09:22:39,242,4,2,1,0,0
09:22:40,291,5,4,3,3,1
09:22:41,262,3,4,1,0,2
09:22:42,256,1,3,0,0,0
09:22:43,235,3,1,0,1,2
09:22:44,247,3,3,0,3,2
09:22:45,302,2,4,3,2,3
09:22:46,274,2,4,1,0,2
09:22:47,291,2,4,0,2,2
09:22:48,263,7,3,1,0,3
09:22:49,248,6,5,0,0,0
09:22:50,270,5,4,0,0,0
09:22:51,260,2,1,2,1,2
09:22:52,277,2,6,0,0,0
09:22:53,243,2,1,0,1,3
09:22:54,286,1,3,1,1,0
09:22:55,282,1,6,1,0,1
09:22:56,285,1,5,2,2,1
09:22:57,261,2,4,3,2,1
09:22:58,246,4,4,1,0,2
09:22:59,277,3,1,0,0,2
09:23:00,310,5,4,1,0,2
09:23:01,259,4,3,2,1,2
09:23:02,290,1,4,0,2,1
09:23:03,265,3,5,1,0,1
09:23:04,287,4,4,2,1,1
09:23:05,290,2,5,2,1,1
09:23:06,270,7,0,2,0,0
09:23:07,292,6,3,1,2,0
09:23:08,289,3,2,1,1,1
09:23:09,261,2,2,1,1,2
09:23:10,277,2,3,1,0,0
09:23:11,289,4,2,0,1,0
09:23:12,250,2,2,1,1,2
09:23:13,295,4,1,3,0,1
09:23:14,280,3,3,1,3,0
09:23:15,301,3,4,1,1,2
09:23:16,273,4,3,1,1,3
09:23:17,284,2,3,1,0,1
09:23:18,300,4,4,1,2,4
09:23:19,314,5,4,0,3,2
09:23:20,292,2,6,0,0,3
09:23:21,321,4,5,1,0,4
09:23:22,294,3,1,2,2,2
09:23:23,296,2,0,2,1,1
09:23:24,327,7,4,0,2,2
09:23:25,264,2,2,3,2,0
09:23:26,316,3,0,1,0,2
09:23:27,323,4,5,0,3,2
09:23:28,330,4,5,1,0,1
09:23:29,293,5,4,6,0,1
09:23:30,303,1,2,1,4,0
09:23:31,302,4,3,2,0,1
09:23:32,337,5,5,2,0,3
09:23:33,274,3,2,2,1,4
09:23:34,309,4,2,0,3,1
09:23:35,305,4,4,1,0,2
09:23:36,329,3,3,2,1,0
09:23:37,296,10,0,2,0,3
09:23:38,312,2,0,2,0,2
09:23:39,280,2,1,0,2,1
09:23:40,294,7,4,1,0,0
09:23:41,286,4,7,4,1,1
09:23:42,326,5,1,1,2,1
09:23:43,340,5,0,1,0,1
09:23:44,305,2,1,2,0,3
09:23:45,323,6,3,0,0,2
09:23:46,301,5,3,1,1,1
09:23:47,324,5,2,5,0,1
09:23:48,319,4,9,1,2,1
09:23:49,326,6,7,1,2,1
09:23:50,314,1,2,2,1,2
09:23:51,340,5,1,0,0,5
09:23:52,297,2,3,0,0,0
09:23:53,333,6,4,1,2,1
09:23:54,308,5,4,0,1,1
09:23:55,330,1,6,1,2,2
09:23:56,304,6,6,0,0,0
09:23:57,317,4,2,1,2,3
09:23:58,343,7,2,3,3,3
09:23:59,323,5,2,0,1,0
09:24:00,347,3,3,0,2,4
09:24:01,316,3,5,2,0,1
09:24:02,353,7,3,2,2,2
09:24:03,338,0,6,2,3,4
09:24:04,316,7,1,0,1,1
09:24:05,361,3,2,1,1,3
09:24:06,342,4,7,3,2,1
09:24:07,339,4,5,1,2,4
09:24:08,325,5,4,1,1,0
09:24:09,371,6,3,1,0,1
09:24:10,396,3,4,0,0,2
09:24:11,372,4,0,2,3,3
09:24:12,349,6,7,3,0,0
09:24:13,363,6,5,2,1,4
09:24:14,375,8,3,1,1,4
09:24:15,345,6,3,0,1,2
09:24:16,329,5,4,2,0,4
09:24:17,386,12,6,1,2,2
09:24:18,384,7,3,1,1,3
09:24:19,413,7,6,3,0,0
09:24:20,381,9,4,2,0,3
09:24:21,353,6,1,1,0,1
09:24:22,360,6,4,0,1,3
09:24:23,364,6,4,2,1,5
09:24:24,397,10,5,1,1,1
09:24:25,398,11,4,0,0,3
09:24:26,387,14,5,1,3,1
09:24:27,391,9,7,2,0,1
09:24:28,392,7,5,2,0,2
09:24:29,403,7,5,0,0,1
09:24:30,384,4,5,0,2,2
09:24:31,355,7,4,2,1,2
09:24:32,412,8,2,4,0,3
09:24:33,366,9,8,0,1,2
09:24:34,394,8,6,3,1,3
09:24:35,363,9,4,1,2,3
09:24:36,372,8,3,0,1,4
09:24:37,342,9,1,0,0,2
09:24:38,419,7,5,3,0,4
09:24:39,383,9,4,1,0,4
09:24:40,395,14,3,2,0,3
09:24:41,404,8,2,2,1,1
09:24:42,378,14,6,1,1,1
09:24:43,388,4,5,3,1,1
09:24:44,395,6,1,1,0,3
09:24:45,419,5,5,2,2,2
09:24:46,361,5,4,1,2,4
09:24:47,357,9,7,2,1,1
09:24:48,371,3,3,1,5,2
09:24:49,352,11,2,1,0,1
09:24:50,394,4,5,3,1,2
09:24:51,418,4,0,0,2,4
09:24:52,403,12,3,4,4,2
09:24:53,357,8,7,2,1,0
09:24:54,355,8,1,2,0,3
09:24:55,374,9,7,0,0,1
09:24:56,371,5,5,3,0,1
09:24:57,340,6,7,2,1,0
09:24:58,345,3,2,2,2,3
09:24:59,369,3,3,0,3,1
09:25:00,5,0,0,0,0,0
09:30:00,4125,58,37,24,10,19
09:30:01,3711,48,44,17,6,15
09:30:02,71220,875,881,233,244,436
09:30:03,49791,611,565,217,165,320
09:30:04,22247,228,232,81,63,156
09:30:05,14251,160,153,57,48,97
09:30:06,6448,78,83,28,23,49
09:30:07,2822,31,43,9,11,26
09:30:08,1896,26,24,7,6,11
09:30:09,1112,15,15,6,5,5
09:30:10,882,24,11,5,3,5
09:30:11,749,20,9,1,3,7
09:30:12,781,26,12,5,1,4
09:30:13,738,13,13,3,1,7
09:30:14,706,11,7,1,5,3
09:30:15,703,16,10,2,0,3
09:30:16,752,19,10,2,2,9
09:30:17,753,19,5,1,4,4
09:30:18,911,22,9,3,1,6
09:30:19,921,14,10,4,2,3
09:30:20,916,15,10,7,2,4
09:30:21,810,18,14,0,0,8
09:30:22,902,16,14,2,5,5
09:30:23,1021,12,14,2,1,11
09:30:24,999,22,14,6,2,11
09:30:25,976,20,16,7,4,8
09:30:26,1120,17,16,4,5,8
09:30:27,1340,24,26,9,4,11
09:30:28,1275,17,14,4,3,10
09:30:29,1273,17,12,7,4,10
09:30:30,1246,17,17,5,3,5
09:30:31,1306,22,22,5,5,15
09:30:32,1254,23,20,3,0,8
09:30:33,1209,32,15,3,5,4
09:30:34,1235,36,12,5,2,13
09:30:35,1277,25,21,3,2,10
09:30:36,1403,24,22,5,3,12
09:30:37,1378,45,22,6,5,13
09:30:38,1305,26,19,2,2,10
09:30:39,1398,33,14,5,3,14
09:30:40,1420,32,17,5,5,11
09:30:41,1413,34,16,6,2,13
09:30:42,1463,26,22,3,8,16
09:30:43,1516,32,19,4,5,20
09:30:44,1460,33,16,4,6,9
09:30:45,1675,44,19,8,3,15
09:30:46,1361,39,19,3,1,18
09:30:47,1332,27,16,9,3,11
09:30:48,1863,45,32,5,8,20
09:30:49,1522,34,19,7,5,16
09:30:50,1498,29,19,1,5,18
09:30:51,1467,40,13,4,5,19
09:30:52,1503,24,22,5,3,20
09:30:53,1601,26,25,6,3,16
09:30:54,1607,32,24,4,6,14
09:30:55,1606,33,28,5,5,24
09:30:56,1654,37,29,7,4,13
09:30:57,1715,29,22,5,1,13
09:30:58,1665,27,14,5,1,18
09:30:59,1626,36,25,5,4,19
09:31:00,1572,26,16,9,4,15
09:31:01,1536,38,23,1,5,20
09:31:02,1512,22,21,9,7,16
09:31:03,1524,40,17,3,2,17
09:31:04,1615,48,23,4,5,23
09:31:05,1585,50,24,7,5,21
09:31:06,1744,37,20,7,11,14
09:31:07,1747,42,24,8,8,21
09:31:08,1691,40,16,7,5,25
09:31:09,1687,32,15,6,9,17
09:31:10,1703,39,19,5,6,10
09:31:11,1671,36,30,4,6,20
09:31:12,1688,51,21,6,4,23
09:31:13,1856,39,16,9,4,23
09:31:14,1733,42,24,4,4,17
09:31:15,1543,34,15,3,7,15
09:31:16,1605,27,23,7,6,19
09:31:17,1586,26,31,7,3,20
09:31:18,1643,37,19,6,6,17
09:31:19,1745,33,20,9,4,25
09:31:20,1627,32,26,7,4,18
09:31:21,1734,40,19,7,6,13
09:31:22,1700,43,13,7,5,19
09:31:23,1663,35,25,5,3,12
09:31:24,1711,42,24,7,5,15
09:31:25,1686,33,23,7,3,21
09:31:26,1612,35,23,6,8,20
09:31:27,1610,26,24,6,8,23
09:31:28,1808,39,29,10,6,20
09:31:29,1659,35,27,4,4,16
09:31:30,1776,32,30,4,4,14
09:31:31,1696,32,20,9,1,22
09:31:32,1645,24,22,6,4,25
09:31:33,1671,28,21,4,5,20
09:31:34,1701,26,28,9,4,9
09:31:35,1635,33,25,10,5,13
09:31:36,1721,31,32,12,6,21
09:31:37,1631,26,30,6,8,20
09:31:38,1801,37,23,8,9,20
09:31:39,1745,28,30,5,6,12
09:31:40,1817,27,19,6,7,25
09:31:41,1782,30,27,7,12,27
09:31:42,1817,30,22,11,5,16
09:31:43,1741,34,26,8,8,20
09:31:44,1771,34,25,10,3,16
09:31:45,1719,23,25,3,9,20
09:31:46,1587,33,35,9,2,14
09:31:47,1654,36,17,10,6,20
09:31:48,1743,36,31,9,8,18
09:31:49,1720,27,15,9,9,24
09:31:50,1686,25,15,6,5,26
09:31:51,1707,29,24,6,8,16
09:31:52,1682,25,20,8,7,24
09:31:53,1697,32,24,9,3,19
09:31:54,1775,32,19,8,6,23
09:31:55,1694,29,28,6,3,15
09:31:56,1574,23,12,5,6,25
09:31:57,1636,21,28,9,2,21
09:31:58,1700,28,32,5,6,17
09:31:59,1859,20,25,6,8,18
09:32:00,1702,30,25,10,7,21
09:32:01,1673,26,23,11,9,23
09:32:02,1669,29,28,6,8,17
09:32:03,1737,26,27,10,9,27
09:32:04,1790,32,21,8,8,33
09:32:05,1812,31,26,6,9,17
09:32:06,1875,22,22,13,13,19
09:32:07,1714,29,23,4,3,15
09:32:08,1766,31,28,12,5,19
09:32:09,1833,28,23,14,2,17
09:32:10,1829,28,22,10,4,20
09:32:11,1720,29,20,3,5,24
09:32:12,1706,21,20,9,6,15
09:32:13,1764,23,26,5,3,26
09:32:14,1782,27,26,8,5,23
09:32:15,1865,22,30,3,6,21
09:32:16,1817,33,23,12,7,23
09:32:17,1838,18,28,13,6,26
09:32:18,1750,28,28,4,11,23
09:32:19,1738,24,28,6,5,22
09:32:20,1817,29,24,8,12,30
09:32:21,1782,25,22,9,7,26
09:32:22,1697,27,26,8,9,26
09:32:23,1791,24,19,5,5,14
09:32:24,1741,24,22,11,8,18
09:32:25,1815,26,28,12,8,19
09:32:26,1717,31,27,8,7,22
09:32:27,1854,26,29,8,8,25
09:32:28,1761,33,24,4,6,16
09:32:29,1721,30,23,4,5,17
09:32:30,1815,34,28,11,9,26
09:32:31,1769,31,27,8,7,31
09:32:32,1715,34,27,8,4,16
09:32:33,1781,44,18,7,5,21
09:32:34,1733,24,24,13,3,23
09:32:35,1871,25,26,7,6,21
09:32:36,1833,28,18,11,3,34
09:32:37,1654,17,17,7,4,22
09:32:38,1600,24,23,5,7,18
09:32:39,1788,19,20,11,3,31
09:32:40,1890,22,26,11,14,24
09:32:41,1666,26,19,6,14,14
09:32:42,1649,23,24,9,6,14
09:32:43,1634,14,8,7,2,20
09:32:44,1673,21,15,9,8,22
